Country Name,Country Code,Series Name,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018
Kuwait,KWT,GDP growth (annual %),-1.789009463,4.694581988,0.729026414,3.000000009,17.32000038,10.7621943,10.07595099,7.52024923,5.991661246,2.479843833,-7.076102616,-2.367061944,9.628436082,6.626388081,1.149038847,0.500876982,0.593019617,2.926121132,-3.48154919,1.240055498
Kyrgyz Republic,KGZ,GDP growth (annual %),3.655789576,5.426673849,5.32158429,-0.017353166,7.030296139,7.026859719,-0.175548229,3.102898691,8.542874896,8.401615957,2.8862947,-0.471566848,5.956274377,-0.2,10.9,4,3.9,4.3,4.7,3.5
Lao PDR,LAO,GDP growth (annual %),7.306376073,5.798782326,5.751412882,5.918743682,6.067002304,6.35769548,7.107568369,8.619266209,7.596828801,7.824902763,7.501774913,8.526905517,8.038652681,8.026098434,8.026300226,7.611963441,7.269591775,7.023091874,6.851431259,6.500868407
Late-demographic dividend,LTE,GDP growth (annual %),4.129552896,6.780992754,4.703551733,5.532368077,6.281153391,7.885995274,7.170854167,8.749939657,9.614572094,6.51456757,2.643729643,7.620953212,6.755704839,5.375801256,5.208141277,4.597231855,3.875715833,3.795239228,4.695157965,4.812314281
Latin America & Caribbean,LCN,GDP growth (annual %),0.132507114,3.79181917,0.881884484,0.289868843,1.557969556,6.340588201,4.249671049,5.268361943,5.518167613,3.919989954,-1.875660812,5.849832657,4.391082215,2.785986913,2.759983741,1.004060269,0.087392111,-0.35451717,1.656188214,1.457673959
Latin America & Caribbean (excluding high income),LAC,GDP growth (annual %),-0.01675884,3.783146993,0.677334468,0.178874261,1.443309458,6.258195379,4.313142459,5.359538177,5.687742956,4.038518232,-1.920366101,6.009045752,4.407719708,2.697394797,2.730501731,0.971010317,-0.064061083,-0.482336545,1.734269699,1.41425918
Latin America & the Caribbean (IDA & IBRD countries),TLA,GDP growth (annual %),-0.06508797,3.779030054,0.726887613,0.257328715,1.581719679,6.306724301,4.342705928,5.3646899,5.667754732,4.064725871,-1.899614086,6.045165225,4.523295207,2.849989171,2.827309234,1.045205761,0.047912459,-0.350490596,1.734139568,1.565725555
Latvia,LVA,GDP growth (annual %),2.61895438,5.406858484,6.461310185,7.103029906,8.430691218,8.3355468,10.69703706,11.88938537,9.97926933,-3.547644225,-14.40169178,-3.940670306,6.381021259,4.034628375,2.429851208,1.858243652,2.971703832,2.064381296,4.636479621,4.769716682
Least developed countries: UN classification,LDC,GDP growth (annual %),4.083175946,4.201964934,5.285868359,5.303142257,5.368786309,6.898583436,8.282261489,7.795825459,8.401010866,7.157104074,4.612580564,6.226265529,3.790280805,4.870393344,5.747941231,5.458363283,4.047271519,3.679127971,4.841495295,4.22537769
Lebanon,LBN,GDP growth (annual %),-0.525584634,1.341871619,3.839669278,3.423149827,3.227098269,6.293775446,2.748394055,1.701433991,9.340929531,9.248842241,10.05447737,8.037249354,0.917698798,2.720151566,2.619160879,1.884285662,0.415030765,1.6055246,0.551994777,0.199990636
Lesotho,LSO,GDP growth (annual %),0.476025102,3.875546814,3.561582191,0.723835961,4.559776811,1.692374206,3.466122481,4.230094854,4.832963734,6.739533599,2.154308341,6.072038316,6.901334391,5.998071782,1.843764299,3.121711574,2.766659687,3.178986427,-2.286299107,1.473326988
Liberia,LBR,GDP growth (annual %),,,2.920272969,3.763018282,-30.14513259,2.619847686,5.281212071,8.043906248,9.535279869,7.145688998,5.300539377,6.099827602,8.20076584,7.993815693,8.704028066,0.701143912,0,-1.599584075,2.468626095,1.222551313
Libya,LBY,GDP growth (annual %),,3.679213293,-1.762878168,-0.958849381,13.01600108,4.461629982,11.87072893,6.500547227,6.352316994,2.66735579,-0.790141832,5.021289739,-62.07591958,123.1395552,-13.59999997,-24.00000003,-8.862039363,-2.79546889,26.67587012,7.838242187
Liechtenstein,LIE,GDP growth (annual %),10.41092416,3.220190998,-0.733091477,-0.993919345,-1.937566245,3.039173512,4.828074952,8.644969847,3.325962956,1.798087686,-1.157481822,,,,,,,,,
Lithuania,LTU,GDP growth (annual %),-1.134642895,3.83166714,6.524430875,6.760749533,10.53856477,6.550083027,7.727407918,7.406444355,11.08695439,2.628077961,-14.81416332,1.639819649,6.043130715,3.82695401,3.49858087,3.537585824,2.020627995,2.353181307,4.139948473,3.493688808
Low & middle income,LMY,GDP growth (annual %),3.184571904,5.567370326,3.426332912,4.311383071,5.378635297,7.729161514,6.996254237,7.903576915,8.440265661,5.593599664,2.296649061,7.362324521,5.933940354,5.096494747,5.128742468,4.420384347,3.888344613,4.243077396,4.857397353,4.603131525
Low income,LIC,GDP growth (annual %),3.373651929,2.654928063,4.892340401,3.686437815,4.559186392,6.240156247,6.641829934,5.624998462,6.422161228,6.023617951,5.243010274,6.930957447,3.478371018,3.291089833,6.120129996,5.82880569,2.874425853,3.074305895,4.957841233,4.948319904
Lower middle income,LMC,GDP growth (annual %),4.553376046,4.319481967,4.473861708,4.669836191,6.100124953,6.991881372,6.596625655,6.948556021,7.031674438,4.613325144,4.942483003,6.845015339,4.992498618,5.178604378,5.640663729,5.656154314,5.585128712,5.567017499,5.557649482,5.545948605
Luxembourg,LUX,GDP growth (annual %),8.481002825,8.239799112,2.531974923,3.819469797,1.62928705,3.612176707,3.172442733,5.178485966,8.354553209,-1.279585572,-4.358607005,4.86496856,2.539234839,-0.35251936,3.654370385,4.296786425,3.915962767,2.411430786,1.54566061,2.602673946
"Macao SAR, China",MAC,GDP growth (annual %),-2.358058824,5.747115329,2.88782271,8.947017809,11.65435601,26.754434,8.060186412,13.31389336,14.44761739,3.393746069,1.321130535,25.26388071,21.67243567,9.237399626,11.20006788,-1.201086,-21.59448768,-0.858021516,9.703992759,4.708202627
Madagascar,MDG,GDP growth (annual %),4.6591157,4.760065099,6.017824403,-12.67378814,9.784892131,5.257003604,4.602899965,5.022607002,6.240578451,7.128513539,-4.013860583,0.263110856,1.454392168,3.027508092,2.25520404,3.315854165,3.116614714,4.179990236,4.30687978,5.187718738
Malawi,MWI,GDP growth (annual %),3.042278091,1.576077837,-4.974963846,1.700000014,5.705639437,5.420497694,3.268725828,4.699999992,9.600000003,7.639736774,8.328110276,6.874065635,4.854055109,1.885799507,5.199999998,5.700000004,2.799999999,2.484040626,4.000030517,3.5
